epoch: 0	train ppl: 519.4510418349752	val ppl: 280.8677026692923	best val: 280.8677026692923	time (s) spent in epoch: 684.1345477104187
epoch: 1	train ppl: 288.46009682397994	val ppl: 226.53971105431597	best val: 226.53971105431597	time (s) spent in epoch: 684.2711336612701
epoch: 2	train ppl: 231.92373914536788	val ppl: 195.82304521084677	best val: 195.82304521084677	time (s) spent in epoch: 684.3278920650482
epoch: 3	train ppl: 198.97986595605326	val ppl: 175.85864487112693	best val: 175.85864487112693	time (s) spent in epoch: 684.2961399555206
epoch: 4	train ppl: 176.3365462462368	val ppl: 157.46546340198725	best val: 157.46546340198725	time (s) spent in epoch: 684.7084424495697
epoch: 5	train ppl: 158.97840987617286	val ppl: 145.77547346094752	best val: 145.77547346094752	time (s) spent in epoch: 684.4130160808563
epoch: 6	train ppl: 145.7647583450144	val ppl: 144.47504883817885	best val: 144.47504883817885	time (s) spent in epoch: 686.953426361084
epoch: 7	train ppl: 134.569529309105	val ppl: 134.9277895603873	best val: 134.9277895603873	time (s) spent in epoch: 686.8941767215729
epoch: 8	train ppl: 125.864522758603	val ppl: 126.61634570540832	best val: 126.61634570540832	time (s) spent in epoch: 685.664475440979
epoch: 9	train ppl: 118.21035322326635	val ppl: 125.25971190772157	best val: 125.25971190772157	time (s) spent in epoch: 684.7121186256409
epoch: 10	train ppl: 111.45048901400042	val ppl: 121.09200109680496	best val: 121.09200109680496	time (s) spent in epoch: 685.4780266284943
epoch: 11	train ppl: 105.4921096019754	val ppl: 117.50199524786395	best val: 117.50199524786395	time (s) spent in epoch: 686.8608505725861
epoch: 12	train ppl: 100.3238604116149	val ppl: 117.97087713910095	best val: 117.50199524786395	time (s) spent in epoch: 686.3574464321136
epoch: 13	train ppl: 95.63902001271217	val ppl: 114.28093912978623	best val: 114.28093912978623	time (s) spent in epoch: 686.3215131759644
epoch: 14	train ppl: 90.97660963348432	val ppl: 114.3402339826554	best val: 114.28093912978623	time (s) spent in epoch: 684.881162405014
epoch: 15	train ppl: 87.3870874400446	val ppl: 112.8122449674048	best val: 112.8122449674048	time (s) spent in epoch: 684.5486259460449
epoch: 16	train ppl: 83.74811424204137	val ppl: 111.10995227070543	best val: 111.10995227070543	time (s) spent in epoch: 684.9804582595825
epoch: 17	train ppl: 80.46149534331046	val ppl: 111.22424890845113	best val: 111.10995227070543	time (s) spent in epoch: 684.5575633049011
epoch: 18	train ppl: 77.43953531877447	val ppl: 111.16775583001285	best val: 111.10995227070543	time (s) spent in epoch: 684.200273513794
epoch: 19	train ppl: 74.68131044040335	val ppl: 110.47538496996006	best val: 110.47538496996006	time (s) spent in epoch: 684.4630815982819
epoch: 20	train ppl: 72.16611143098538	val ppl: 110.05560876376761	best val: 110.05560876376761	time (s) spent in epoch: 684.1861186027527
epoch: 21	train ppl: 69.65397891070631	val ppl: 110.973791945996	best val: 110.05560876376761	time (s) spent in epoch: 684.5202250480652
epoch: 22	train ppl: 67.52219213280503	val ppl: 108.583784225935	best val: 108.583784225935	time (s) spent in epoch: 683.964063167572
epoch: 23	train ppl: 65.5945834254226	val ppl: 109.37931382763723	best val: 108.583784225935	time (s) spent in epoch: 683.7815866470337
epoch: 24	train ppl: 63.65157257072279	val ppl: 110.61827890911967	best val: 108.583784225935	time (s) spent in epoch: 683.8530251979828
epoch: 25	train ppl: 61.88379091525341	val ppl: 111.93374396136367	best val: 108.583784225935	time (s) spent in epoch: 684.0325298309326
epoch: 26	train ppl: 60.15279079480195	val ppl: 110.43092501068678	best val: 108.583784225935	time (s) spent in epoch: 684.9367463588715
epoch: 27	train ppl: 58.66447414579223	val ppl: 111.28574203343136	best val: 108.583784225935	time (s) spent in epoch: 684.9165177345276
epoch: 28	train ppl: 57.07448454006003	val ppl: 111.0327802048165	best val: 108.583784225935	time (s) spent in epoch: 684.8767032623291
epoch: 29	train ppl: 55.758410971255174	val ppl: 111.33988167893874	best val: 108.583784225935	time (s) spent in epoch: 685.596540927887
epoch: 30	train ppl: 54.33384024273484	val ppl: 112.62691476149953	best val: 108.583784225935	time (s) spent in epoch: 685.7512698173523
epoch: 31	train ppl: 53.401683113866284	val ppl: 114.92125189973561	best val: 108.583784225935	time (s) spent in epoch: 685.8035113811493
epoch: 32	train ppl: 52.14089696405984	val ppl: 114.20237213732642	best val: 108.583784225935	time (s) spent in epoch: 685.71999335289
epoch: 33	train ppl: 51.16409960228954	val ppl: 113.08924840239696	best val: 108.583784225935	time (s) spent in epoch: 685.9908726215363
epoch: 34	train ppl: 50.09964793551921	val ppl: 113.56766926060304	best val: 108.583784225935	time (s) spent in epoch: 686.2009296417236
epoch: 35	train ppl: 49.23650156346756	val ppl: 116.68206125699326	best val: 108.583784225935	time (s) spent in epoch: 685.8530728816986
epoch: 36	train ppl: 48.28529204962597	val ppl: 115.53938721840025	best val: 108.583784225935	time (s) spent in epoch: 686.0872676372528
epoch: 37	train ppl: 47.37872200237314	val ppl: 117.0936523937483	best val: 108.583784225935	time (s) spent in epoch: 685.9042308330536
epoch: 38	train ppl: 46.621803545741145	val ppl: 118.58420067805429	best val: 108.583784225935	time (s) spent in epoch: 685.00670170784
epoch: 39	train ppl: 45.86985836739846	val ppl: 116.56481179507564	best val: 108.583784225935	time (s) spent in epoch: 684.0440442562103
