epoch: 0	train ppl: 345.13244605018025	val ppl: 191.34622772855172	best val: 191.34622772855172	time (s) spent in epoch: 71.25980162620544
epoch: 1	train ppl: 139.63043830171296	val ppl: 147.35001128505252	best val: 147.35001128505252	time (s) spent in epoch: 71.65709185600281
epoch: 2	train ppl: 93.36459947603976	val ppl: 138.1508929122591	best val: 138.1508929122591	time (s) spent in epoch: 71.73281717300415
epoch: 3	train ppl: 69.20227900083165	val ppl: 138.18491355104484	best val: 138.1508929122591	time (s) spent in epoch: 71.36125087738037
epoch: 4	train ppl: 53.50085346619281	val ppl: 145.50974451964063	best val: 138.1508929122591	time (s) spent in epoch: 71.36155486106873
epoch: 5	train ppl: 42.41310305370226	val ppl: 157.28676838230643	best val: 138.1508929122591	time (s) spent in epoch: 71.33961486816406
epoch: 6	train ppl: 34.051545867578525	val ppl: 175.49644935933586	best val: 138.1508929122591	time (s) spent in epoch: 71.58562803268433
epoch: 7	train ppl: 27.758468796954954	val ppl: 197.6033968624054	best val: 138.1508929122591	time (s) spent in epoch: 71.3393280506134
epoch: 8	train ppl: 22.975836107487687	val ppl: 226.34452475042454	best val: 138.1508929122591	time (s) spent in epoch: 71.5225772857666
epoch: 9	train ppl: 19.245525086886	val ppl: 258.9362094000259	best val: 138.1508929122591	time (s) spent in epoch: 71.53566217422485
epoch: 10	train ppl: 16.431076180797675	val ppl: 297.2121625797847	best val: 138.1508929122591	time (s) spent in epoch: 71.62716126441956
epoch: 11	train ppl: 14.251733156784145	val ppl: 336.5856247525981	best val: 138.1508929122591	time (s) spent in epoch: 71.25666880607605
epoch: 12	train ppl: 12.497205827217398	val ppl: 388.281248286587	best val: 138.1508929122591	time (s) spent in epoch: 71.5179991722107
epoch: 13	train ppl: 11.149377347046393	val ppl: 444.5203079686639	best val: 138.1508929122591	time (s) spent in epoch: 71.32937145233154
epoch: 14	train ppl: 10.06615288537356	val ppl: 505.47800066109534	best val: 138.1508929122591	time (s) spent in epoch: 71.27989959716797
epoch: 15	train ppl: 9.138812566702423	val ppl: 577.1035804724831	best val: 138.1508929122591	time (s) spent in epoch: 71.18821001052856
epoch: 16	train ppl: 8.383659556386782	val ppl: 639.4857272174669	best val: 138.1508929122591	time (s) spent in epoch: 71.37688422203064
epoch: 17	train ppl: 7.750806727506253	val ppl: 717.8894242721614	best val: 138.1508929122591	time (s) spent in epoch: 71.29634714126587
epoch: 18	train ppl: 7.193204499013117	val ppl: 806.6196621172336	best val: 138.1508929122591	time (s) spent in epoch: 71.13386011123657
epoch: 19	train ppl: 6.767359206739594	val ppl: 908.4679605578806	best val: 138.1508929122591	time (s) spent in epoch: 71.32782745361328
epoch: 20	train ppl: 6.3320296387211545	val ppl: 1013.1291182175596	best val: 138.1508929122591	time (s) spent in epoch: 71.47616171836853
epoch: 21	train ppl: 6.015828317048777	val ppl: 1128.1532020085403	best val: 138.1508929122591	time (s) spent in epoch: 71.48272442817688
epoch: 22	train ppl: 5.6914120524413	val ppl: 1240.9623848775886	best val: 138.1508929122591	time (s) spent in epoch: 71.25980687141418
epoch: 23	train ppl: 5.429190489540405	val ppl: 1371.6646631501826	best val: 138.1508929122591	time (s) spent in epoch: 71.3722984790802
epoch: 24	train ppl: 5.211250582271781	val ppl: 1492.527124758352	best val: 138.1508929122591	time (s) spent in epoch: 71.45149064064026
epoch: 25	train ppl: 4.988209092714585	val ppl: 1637.8442750215984	best val: 138.1508929122591	time (s) spent in epoch: 71.38371777534485
epoch: 26	train ppl: 4.8123248210596214	val ppl: 1785.8782032134043	best val: 138.1508929122591	time (s) spent in epoch: 71.02839970588684
epoch: 27	train ppl: 4.650320583314227	val ppl: 1937.0129394058004	best val: 138.1508929122591	time (s) spent in epoch: 71.1191017627716
epoch: 28	train ppl: 4.4875505127526	val ppl: 2082.8751384636935	best val: 138.1508929122591	time (s) spent in epoch: 71.3923351764679
epoch: 29	train ppl: 4.338121688729028	val ppl: 2316.9767118443533	best val: 138.1508929122591	time (s) spent in epoch: 71.18761610984802
epoch: 30	train ppl: 4.211791372571422	val ppl: 2448.1134560574937	best val: 138.1508929122591	time (s) spent in epoch: 70.9654152393341
epoch: 31	train ppl: 4.085953161012017	val ppl: 2631.1800817700214	best val: 138.1508929122591	time (s) spent in epoch: 71.293377161026
epoch: 32	train ppl: 3.994443792926604	val ppl: 2781.346570690108	best val: 138.1508929122591	time (s) spent in epoch: 71.3356020450592
epoch: 33	train ppl: 3.879938238814992	val ppl: 3007.039647126388	best val: 138.1508929122591	time (s) spent in epoch: 71.05741882324219
epoch: 34	train ppl: 3.802374841831826	val ppl: 3166.528976522823	best val: 138.1508929122591	time (s) spent in epoch: 71.24216032028198
epoch: 35	train ppl: 3.713276022537066	val ppl: 3272.3898732835046	best val: 138.1508929122591	time (s) spent in epoch: 71.39086413383484
epoch: 36	train ppl: 3.630242423306263	val ppl: 3467.9401380392724	best val: 138.1508929122591	time (s) spent in epoch: 71.43862652778625
epoch: 37	train ppl: 3.561601090807851	val ppl: 3738.706139434469	best val: 138.1508929122591	time (s) spent in epoch: 71.23352217674255
epoch: 38	train ppl: 3.491061796852179	val ppl: 3991.471258162557	best val: 138.1508929122591	time (s) spent in epoch: 71.40989995002747
epoch: 39	train ppl: 3.415880712567909	val ppl: 4121.9452015635125	best val: 138.1508929122591	time (s) spent in epoch: 71.29710006713867
