epoch: 0	train ppl: 203048.8297972212	val ppl: 17919.363312950834	best val: 17919.363312950834	time (s) spent in epoch: 166.35499548912048
epoch: 1	train ppl: 2549.254283733707	val ppl: 974.857597410566	best val: 974.857597410566	time (s) spent in epoch: 167.1275134086609
epoch: 2	train ppl: 1012.2775916874796	val ppl: 601.927680034781	best val: 601.927680034781	time (s) spent in epoch: 167.0144166946411
epoch: 3	train ppl: 698.2501802658963	val ppl: 502.62717496345834	best val: 502.62717496345834	time (s) spent in epoch: 167.2474946975708
epoch: 4	train ppl: 520.3782835654995	val ppl: 502.0502878759602	best val: 502.0502878759602	time (s) spent in epoch: 167.21282815933228
epoch: 5	train ppl: 447.41221074067556	val ppl: 405.56975966400637	best val: 405.56975966400637	time (s) spent in epoch: 167.580628156662
epoch: 6	train ppl: 381.5561112419275	val ppl: 324.07448289256644	best val: 324.07448289256644	time (s) spent in epoch: 167.6827404499054
epoch: 7	train ppl: 344.61500026659445	val ppl: 307.90770386587695	best val: 307.90770386587695	time (s) spent in epoch: 167.5152130126953
epoch: 8	train ppl: 294.0873202723099	val ppl: 330.87908758181896	best val: 307.90770386587695	time (s) spent in epoch: 166.97087025642395
epoch: 9	train ppl: 258.10391082325026	val ppl: 289.15663313422834	best val: 289.15663313422834	time (s) spent in epoch: 166.6418375968933
epoch: 10	train ppl: 232.28957892737637	val ppl: 267.39634720666305	best val: 267.39634720666305	time (s) spent in epoch: 166.81307768821716
epoch: 11	train ppl: 206.25882894270296	val ppl: 232.360812799009	best val: 232.360812799009	time (s) spent in epoch: 166.63693499565125
epoch: 12	train ppl: 183.5737508831836	val ppl: 221.26572442857872	best val: 221.26572442857872	time (s) spent in epoch: 166.5526442527771
epoch: 13	train ppl: 166.55541923483963	val ppl: 182.6585992451339	best val: 182.6585992451339	time (s) spent in epoch: 166.44830870628357
epoch: 14	train ppl: 150.34910437991726	val ppl: 214.21431935947496	best val: 182.6585992451339	time (s) spent in epoch: 166.5316240787506
epoch: 15	train ppl: 140.44347272530902	val ppl: 199.21655846997777	best val: 182.6585992451339	time (s) spent in epoch: 166.70329570770264
epoch: 16	train ppl: 126.81059798726203	val ppl: 175.64339583181192	best val: 175.64339583181192	time (s) spent in epoch: 166.6118941307068
epoch: 17	train ppl: 117.6220458572558	val ppl: 194.49821683839482	best val: 175.64339583181192	time (s) spent in epoch: 166.9814794063568
epoch: 18	train ppl: 109.53302621865882	val ppl: 178.8504783664124	best val: 175.64339583181192	time (s) spent in epoch: 166.5542287826538
epoch: 19	train ppl: 103.65162941309055	val ppl: 178.0853124104802	best val: 175.64339583181192	time (s) spent in epoch: 166.47726392745972
epoch: 20	train ppl: 96.31549202170997	val ppl: 171.48137929846783	best val: 171.48137929846783	time (s) spent in epoch: 166.53411602973938
epoch: 21	train ppl: 93.15850423245031	val ppl: 192.7905849043925	best val: 171.48137929846783	time (s) spent in epoch: 166.65009260177612
epoch: 22	train ppl: 84.77787662056252	val ppl: 173.85719927287016	best val: 171.48137929846783	time (s) spent in epoch: 166.44898104667664
epoch: 23	train ppl: 79.27788507237393	val ppl: 188.63881025528468	best val: 171.48137929846783	time (s) spent in epoch: 166.5417811870575
epoch: 24	train ppl: 75.52437382696425	val ppl: 183.60148041355495	best val: 171.48137929846783	time (s) spent in epoch: 166.23511862754822
epoch: 25	train ppl: 70.04080524322458	val ppl: 185.3952849912994	best val: 171.48137929846783	time (s) spent in epoch: 166.49451208114624
epoch: 26	train ppl: 65.52620522879829	val ppl: 189.2201176763303	best val: 171.48137929846783	time (s) spent in epoch: 166.31960701942444
epoch: 27	train ppl: 62.82108567731978	val ppl: 171.56677217968362	best val: 171.48137929846783	time (s) spent in epoch: 166.3088414669037
epoch: 28	train ppl: 57.7750554056125	val ppl: 207.04645762706872	best val: 171.48137929846783	time (s) spent in epoch: 166.5077567100525
epoch: 29	train ppl: 55.4543872141066	val ppl: 199.2261115188252	best val: 171.48137929846783	time (s) spent in epoch: 166.39786887168884
epoch: 30	train ppl: 51.6956568528679	val ppl: 186.94937935357177	best val: 171.48137929846783	time (s) spent in epoch: 166.485036611557
epoch: 31	train ppl: 47.976914904949766	val ppl: 218.8967463561344	best val: 171.48137929846783	time (s) spent in epoch: 166.41303515434265
epoch: 32	train ppl: 45.28449315297674	val ppl: 217.57222580107407	best val: 171.48137929846783	time (s) spent in epoch: 166.6042993068695
epoch: 33	train ppl: 42.83572184365745	val ppl: 212.72231219477962	best val: 171.48137929846783	time (s) spent in epoch: 166.404372215271
epoch: 34	train ppl: 40.0410978355027	val ppl: 233.94745592994101	best val: 171.48137929846783	time (s) spent in epoch: 166.68211555480957
epoch: 35	train ppl: 37.83725350143327	val ppl: 244.19776738456832	best val: 171.48137929846783	time (s) spent in epoch: 166.54268312454224
epoch: 36	train ppl: 35.24630058506967	val ppl: 256.97044368378675	best val: 171.48137929846783	time (s) spent in epoch: 166.50736379623413
epoch: 37	train ppl: 32.544605606519326	val ppl: 250.56448950560247	best val: 171.48137929846783	time (s) spent in epoch: 166.51510906219482
epoch: 38	train ppl: 31.711194444768296	val ppl: 253.4705150207129	best val: 171.48137929846783	time (s) spent in epoch: 166.6073887348175
epoch: 39	train ppl: 29.29684124736197	val ppl: 302.7071789351145	best val: 171.48137929846783	time (s) spent in epoch: 166.44114875793457
