epoch: 0	train ppl: 4904.034161455281	val ppl: 1176.7363445260514	best val: 1176.7363445260514	time (s) spent in epoch: 161.55419397354126
epoch: 1	train ppl: 815.2217849588542	val ppl: 491.63383761053245	best val: 491.63383761053245	time (s) spent in epoch: 161.55453205108643
epoch: 2	train ppl: 422.58117705376145	val ppl: 349.61017064756146	best val: 349.61017064756146	time (s) spent in epoch: 161.5182716846466
epoch: 3	train ppl: 274.57667458502686	val ppl: 246.15059828164667	best val: 246.15059828164667	time (s) spent in epoch: 161.3911452293396
epoch: 4	train ppl: 204.5209703791687	val ppl: 210.59424373619763	best val: 210.59424373619763	time (s) spent in epoch: 161.71640133857727
epoch: 5	train ppl: 162.41240434365548	val ppl: 187.39124913568324	best val: 187.39124913568324	time (s) spent in epoch: 161.60647916793823
epoch: 6	train ppl: 133.00481132514358	val ppl: 166.1286091915826	best val: 166.1286091915826	time (s) spent in epoch: 161.35884642601013
epoch: 7	train ppl: 111.13517836084328	val ppl: 164.51384161256493	best val: 164.51384161256493	time (s) spent in epoch: 160.9630925655365
epoch: 8	train ppl: 93.98271626549568	val ppl: 159.00595948842854	best val: 159.00595948842854	time (s) spent in epoch: 160.97490692138672
epoch: 9	train ppl: 80.38524770761987	val ppl: 163.15124060503538	best val: 159.00595948842854	time (s) spent in epoch: 161.28658986091614
epoch: 10	train ppl: 69.33050246692635	val ppl: 166.78966394083616	best val: 159.00595948842854	time (s) spent in epoch: 161.17556381225586
epoch: 11	train ppl: 59.771997841252315	val ppl: 179.52109394291637	best val: 159.00595948842854	time (s) spent in epoch: 161.25635027885437
epoch: 12	train ppl: 52.27309118258716	val ppl: 187.7145855856477	best val: 159.00595948842854	time (s) spent in epoch: 161.29328656196594
epoch: 13	train ppl: 46.23071850969863	val ppl: 202.94875361783247	best val: 159.00595948842854	time (s) spent in epoch: 161.36072278022766
epoch: 14	train ppl: 40.60856860285934	val ppl: 220.09653473576319	best val: 159.00595948842854	time (s) spent in epoch: 161.4399917125702
epoch: 15	train ppl: 33.16517645240547	val ppl: 238.57551323698945	best val: 159.00595948842854	time (s) spent in epoch: 161.27289628982544
epoch: 16	train ppl: 26.598773723169238	val ppl: 257.8018246026501	best val: 159.00595948842854	time (s) spent in epoch: 161.3669855594635
epoch: 17	train ppl: 21.767349117716254	val ppl: 281.182896037725	best val: 159.00595948842854	time (s) spent in epoch: 161.2707440853119
epoch: 18	train ppl: 18.709923331841686	val ppl: 295.77541637454306	best val: 159.00595948842854	time (s) spent in epoch: 161.12177324295044
epoch: 19	train ppl: 16.97229385018838	val ppl: 303.59907160034487	best val: 159.00595948842854	time (s) spent in epoch: 161.41334319114685
epoch: 20	train ppl: 16.127536295441107	val ppl: 305.1327156382681	best val: 159.00595948842854	time (s) spent in epoch: 161.43657517433167
epoch: 21	train ppl: 15.731418448840127	val ppl: 302.1480278127372	best val: 159.00595948842854	time (s) spent in epoch: 161.55121541023254
epoch: 22	train ppl: 15.517268986418268	val ppl: 298.72485797684664	best val: 159.00595948842854	time (s) spent in epoch: 161.44689464569092
epoch: 23	train ppl: 15.427464810115175	val ppl: 297.5435510434964	best val: 159.00595948842854	time (s) spent in epoch: 161.5513219833374
epoch: 24	train ppl: 15.423807377281642	val ppl: 297.281065076838	best val: 159.00595948842854	time (s) spent in epoch: 161.38278317451477
epoch: 25	train ppl: 15.42582678573421	val ppl: 297.2177252126066	best val: 159.00595948842854	time (s) spent in epoch: 161.4501678943634
epoch: 26	train ppl: 15.444570159645183	val ppl: 297.2052448647837	best val: 159.00595948842854	time (s) spent in epoch: 161.41456007957458
epoch: 27	train ppl: 15.413275748290774	val ppl: 297.2037036800447	best val: 159.00595948842854	time (s) spent in epoch: 161.49580788612366
epoch: 28	train ppl: 15.434364086007749	val ppl: 297.20356196230904	best val: 159.00595948842854	time (s) spent in epoch: 161.5140631198883
epoch: 29	train ppl: 15.40588802416192	val ppl: 297.20357967702233	best val: 159.00595948842854	time (s) spent in epoch: 161.6761999130249
epoch: 30	train ppl: 15.433406202047685	val ppl: 297.2035265328857	best val: 159.00595948842854	time (s) spent in epoch: 161.33209252357483
epoch: 31	train ppl: 15.432752151759432	val ppl: 297.2035442475969	best val: 159.00595948842854	time (s) spent in epoch: 161.57960081100464
epoch: 32	train ppl: 15.449453375718205	val ppl: 297.2035442475969	best val: 159.00595948842854	time (s) spent in epoch: 161.7660095691681
epoch: 33	train ppl: 15.426663126753803	val ppl: 297.2035442475969	best val: 159.00595948842854	time (s) spent in epoch: 161.66919589042664
epoch: 34	train ppl: 15.44792704917779	val ppl: 297.2035442475969	best val: 159.00595948842854	time (s) spent in epoch: 161.72623705863953
epoch: 35	train ppl: 15.453232741483827	val ppl: 297.2035442475969	best val: 159.00595948842854	time (s) spent in epoch: 161.62568974494934
epoch: 36	train ppl: 15.447462028200516	val ppl: 297.2035442475969	best val: 159.00595948842854	time (s) spent in epoch: 161.7106420993805
epoch: 37	train ppl: 15.427673757839601	val ppl: 297.2035442475969	best val: 159.00595948842854	time (s) spent in epoch: 161.57046484947205
epoch: 38	train ppl: 15.428902411353675	val ppl: 297.2035442475969	best val: 159.00595948842854	time (s) spent in epoch: 161.6727249622345
epoch: 39	train ppl: 15.445666395053143	val ppl: 297.2035442475969	best val: 159.00595948842854	time (s) spent in epoch: 161.5775134563446
